dataset,model,MASE,WQL
electricity_15min,amazon/chronos-t5-small,0.4217212325445219,0.07822404621215323
m4_daily,amazon/chronos-t5-small,3.140191022962379,0.021292037326724564
m4_hourly,amazon/chronos-t5-small,0.7401577368560656,0.025062709986590676
m4_monthly,amazon/chronos-t5-small,0.9806626492513404,0.10289297748308451
m4_weekly,amazon/chronos-t5-small,2.0438609276407926,0.03921238573253522
monash_electricity_hourly,amazon/chronos-t5-small,1.5290849245533888,0.10768972403333246
monash_electricity_weekly,amazon/chronos-t5-small,1.909785802984042,0.08066866018013892
monash_kdd_cup_2018,amazon/chronos-t5-small,0.6992414604768755,0.2998230565507613
monash_london_smart_meters,amazon/chronos-t5-small,0.840454128661116,0.429587310772431
monash_pedestrian_counts,amazon/chronos-t5-small,0.3058798876035525,0.24219253447004543
monash_rideshare,amazon/chronos-t5-small,0.8386763297141946,0.13561088749674644
monash_temperature_rain,amazon/chronos-t5-small,1.0134333658596408,0.6844351609456027
taxi_30min,amazon/chronos-t5-small,0.9777718997607762,0.32915168332937234
uber_tlc_daily,amazon/chronos-t5-small,0.8699698408310497,0.10135872917404587
uber_tlc_hourly,amazon/chronos-t5-small,0.6755127105415366,0.15859390134888007
