dataset,model,MASE,WQL
ETTh,amazon/chronos-t5-small,0.7838566561441102,0.0783663270182556
ETTm,amazon/chronos-t5-small,0.6765026249409262,0.05893443585584405
dominick,amazon/chronos-t5-small,0.8102116123068328,0.336601887365615
ercot,amazon/chronos-t5-small,0.587679104154062,0.016087978898797282
exchange_rate,amazon/chronos-t5-small,2.049373285844616,0.01424206897050911
m4_quarterly,amazon/chronos-t5-small,1.240137122948362,0.083822829760288
m4_yearly,amazon/chronos-t5-small,3.74942694875553,0.13885034085715534
m5,amazon/chronos-t5-small,0.937062039804877,0.5901500933889525
monash_australian_electricity,amazon/chronos-t5-small,1.1645330741826163,0.06685763117046678
monash_car_parts,amazon/chronos-t5-small,0.8889846382868213,1.0352413530712536
monash_cif_2016,amazon/chronos-t5-small,1.0002930770630665,0.012041220146749663
monash_covid_deaths,amazon/chronos-t5-small,42.16245166502618,0.06566628807730024
monash_fred_md,amazon/chronos-t5-small,0.4599991892800703,0.016416329458249626
monash_hospital,amazon/chronos-t5-small,0.7076354106608801,0.05737935431865039
monash_m1_monthly,amazon/chronos-t5-small,1.1647891756107398,0.14145021470760213
monash_m1_quarterly,amazon/chronos-t5-small,1.7978576729698152,0.11131911945520673
monash_m1_yearly,amazon/chronos-t5-small,4.734141173481842,0.1759806150728226
monash_m3_monthly,amazon/chronos-t5-small,0.8910680835554321,0.09940270136951078
monash_m3_quarterly,amazon/chronos-t5-small,1.2840658820420916,0.08026694800425406
monash_m3_yearly,amazon/chronos-t5-small,3.391608937791115,0.15820859136472565
monash_nn5_weekly,amazon/chronos-t5-small,0.9537255732186654,0.09147206660117979
monash_tourism_monthly,amazon/chronos-t5-small,1.9148519130772768,0.1098433860003054
monash_tourism_quarterly,amazon/chronos-t5-small,1.768902912499643,0.06596417300178609
monash_tourism_yearly,amazon/chronos-t5-small,3.9531014724559776,0.2062193838517634
monash_traffic,amazon/chronos-t5-small,0.8239376327541156,0.25921942118073876
monash_weather,amazon/chronos-t5-small,0.8589949394783137,0.14821906209599545
nn5,amazon/chronos-t5-small,0.6124202323381457,0.16679377880368737
