dteday,casual
2011-04-01,307
2011-04-02,898
2011-04-03,1651
2011-04-04,734
2011-04-05,167
2011-04-06,413
2011-04-07,571
2011-04-08,172
2011-04-09,879
2011-04-10,1188
2011-04-11,855
2011-04-12,257
2011-04-13,209
2011-04-14,529
2011-04-15,642
2011-04-16,121
2011-04-17,1558
2011-04-18,669
2011-04-19,409
2011-04-20,613
2011-04-21,745
2011-04-22,177
2011-04-23,1462
2011-04-24,1710
2011-04-25,773
2011-04-26,678
2011-04-27,547
2011-04-28,569
2011-04-29,878
2011-04-30,1965
2011-05-01,1138
2011-05-02,847
2011-05-03,603
2011-05-04,255
2011-05-05,614
2011-05-06,894
2011-05-07,1612
2011-05-08,1401
2011-05-09,664
2011-05-10,694
2011-05-11,550
2011-05-12,695
2011-05-13,692
2011-05-14,902
2011-05-15,1582
2011-05-16,773
2011-05-17,678
2011-05-18,536
2011-05-19,735
2011-05-20,909
2011-05-21,2258
2011-05-22,1576
2011-05-23,836
2011-05-24,659
2011-05-25,740
2011-05-26,758
2011-05-27,871
2011-05-28,2001
2011-05-29,2355
2011-05-30,1549
2011-05-31,673
2011-06-01,513
2011-06-02,736
2011-06-03,898
2011-06-04,1869
2011-06-05,1685
2011-06-06,673
2011-06-07,763
2011-06-08,676
2011-06-09,563
2011-06-10,815
2011-06-11,1729
2011-06-12,1467
2011-06-13,863
2011-06-14,727
2011-06-15,769
2011-06-16,545
2011-06-17,863
2011-06-18,1807
2011-06-19,1639
2011-06-20,699
2011-06-21,774
2011-06-22,661
2011-06-23,746
2011-06-24,969
2011-06-25,1782
2011-06-26,1920
2011-06-27,854
2011-06-28,732
2011-06-29,848
2011-06-30,1027
2011-07-01,1246
2011-07-02,2204
2011-07-03,2282
2011-07-04,3065
2011-07-05,1031
2011-07-06,784
2011-07-07,754
2011-07-08,692
2011-07-09,1988
2011-07-10,1743
2011-07-11,723
2011-07-12,662
2011-07-13,748
2011-07-14,888
2011-07-15,1318
2011-07-16,2418
2011-07-17,2006
2011-07-18,841
2011-07-19,752
2011-07-20,644
2011-07-21,632
2011-07-22,562
2011-07-23,987
2011-07-24,1050
2011-07-25,568
2011-07-26,750
2011-07-27,755
2011-07-28,606
2011-07-29,670
2011-07-30,1559
2011-07-31,1524
