dteday,registered
2011-04-01,1920
2011-04-02,1354
2011-04-03,1598
2011-04-04,2381
2011-04-05,1628
2011-04-06,2395
2011-04-07,2570
2011-04-08,1299
2011-04-09,1576
2011-04-10,1707
2011-04-11,2493
2011-04-12,1777
2011-04-13,1953
2011-04-14,2738
2011-04-15,2484
2011-04-16,674
2011-04-17,2186
2011-04-18,2760
2011-04-19,2795
2011-04-20,3331
2011-04-21,3444
2011-04-22,1506
2011-04-23,2574
2011-04-24,2481
2011-04-25,3300
2011-04-26,3722
2011-04-27,3325
2011-04-28,3489
2011-04-29,3717
2011-04-30,3347
2011-05-01,2213
2011-05-02,3554
2011-05-03,3848
2011-05-04,2378
2011-05-05,3819
2011-05-06,3714
2011-05-07,3102
2011-05-08,2932
2011-05-09,3698
2011-05-10,4109
2011-05-11,3632
2011-05-12,4169
2011-05-13,3413
2011-05-14,2507
2011-05-15,2971
2011-05-16,3185
2011-05-17,3445
2011-05-18,3319
2011-05-19,3840
2011-05-20,4008
2011-05-21,3547
2011-05-22,3084
2011-05-23,3438
2011-05-24,3833
2011-05-25,4238
2011-05-26,3919
2011-05-27,3808
2011-05-28,2757
2011-05-29,2433
2011-05-30,2549
2011-05-31,3309
2011-06-01,3461
2011-06-02,4232
2011-06-03,4414
2011-06-04,3473
2011-06-05,3221
2011-06-06,3875
2011-06-07,4070
2011-06-08,3725
2011-06-09,3352
2011-06-10,3771
2011-06-11,3237
2011-06-12,2993
2011-06-13,4157
2011-06-14,4164
2011-06-15,4411
2011-06-16,3222
2011-06-17,3981
2011-06-18,3312
2011-06-19,3105
2011-06-20,3311
2011-06-21,4061
2011-06-22,3846
2011-06-23,4044
2011-06-24,4022
2011-06-25,3420
2011-06-26,3385
2011-06-27,3854
2011-06-28,3916
2011-06-29,4377
2011-06-30,4488
2011-07-01,4116
2011-07-02,2915
2011-07-03,2367
2011-07-04,2978
2011-07-05,3634
2011-07-06,3845
2011-07-07,3838
2011-07-08,3348
2011-07-09,3348
2011-07-10,3138
2011-07-11,3363
2011-07-12,3596
2011-07-13,3594
2011-07-14,4196
2011-07-15,4220
2011-07-16,3505
2011-07-17,3296
2011-07-18,3617
2011-07-19,3789
2011-07-20,3688
2011-07-21,3152
2011-07-22,2825
2011-07-23,2298
2011-07-24,2556
2011-07-25,3272
2011-07-26,3840
2011-07-27,3901
2011-07-28,3784
2011-07-29,3176
2011-07-30,2916
2011-07-31,2778
