dteday,casual
2011-09-01,783
2011-09-02,875
2011-09-03,1935
2011-09-04,2521
2011-09-05,1236
2011-09-06,204
2011-09-07,118
2011-09-08,153
2011-09-09,417
2011-09-10,1750
2011-09-11,1633
2011-09-12,690
2011-09-13,701
2011-09-14,647
2011-09-15,428
2011-09-16,742
2011-09-17,1434
2011-09-18,1353
2011-09-19,691
2011-09-20,438
2011-09-21,539
2011-09-22,555
2011-09-23,258
2011-09-24,1776
2011-09-25,1544
2011-09-26,684
2011-09-27,477
2011-09-28,480
2011-09-29,653
2011-09-30,830
2011-10-01,480
2011-10-02,616
2011-10-03,330
2011-10-04,486
2011-10-05,559
2011-10-06,639
2011-10-07,949
2011-10-08,2235
2011-10-09,2397
2011-10-10,1514
2011-10-11,667
2011-10-12,217
2011-10-13,290
2011-10-14,529
2011-10-15,1899
2011-10-16,1748
2011-10-17,713
2011-10-18,637
2011-10-19,254
2011-10-20,471
2011-10-21,676
2011-10-22,1499
2011-10-23,1619
2011-10-24,699
2011-10-25,695
2011-10-26,404
2011-10-27,240
2011-10-28,456
2011-10-29,57
2011-10-30,885
2011-10-31,362
2011-11-01,410
2011-11-02,370
2011-11-03,318
2011-11-04,470
2011-11-05,1156
2011-11-06,952
2011-11-07,373
2011-11-08,376
2011-11-09,305
2011-11-10,190
2011-11-11,440
2011-11-12,1275
2011-11-13,1004
2011-11-14,595
2011-11-15,449
2011-11-16,145
2011-11-17,139
2011-11-18,245
2011-11-19,943
2011-11-20,787
2011-11-21,220
2011-11-22,69
2011-11-23,112
2011-11-24,560
2011-11-25,1095
2011-11-26,1249
2011-11-27,810
2011-11-28,253
2011-11-29,96
2011-11-30,188
2011-12-01,182
2011-12-02,268
2011-12-03,706
2011-12-04,634
2011-12-05,233
2011-12-06,126
2011-12-07,50
2011-12-08,150
2011-12-09,261
2011-12-10,502
2011-12-11,377
2011-12-12,143
2011-12-13,155
2011-12-14,178
2011-12-15,181
2011-12-16,178
2011-12-17,275
2011-12-18,220
2011-12-19,260
2011-12-20,216
2011-12-21,107
2011-12-22,227
2011-12-23,163
2011-12-24,155
2011-12-25,303
2011-12-26,430
2011-12-27,103
2011-12-28,255
2011-12-29,254
2011-12-30,491
2011-12-31,665
2012-01-01,686
2012-01-02,244
2012-01-03,89
2012-01-04,95
2012-01-05,140
2012-01-06,307
2012-01-07,1070
2012-01-08,599
2012-01-09,106
