dteday,registered
2011-09-01,4332
2011-09-02,3852
2011-09-03,2549
2011-09-04,2419
2011-09-05,2115
2011-09-06,2506
2011-09-07,1878
2011-09-08,1689
2011-09-09,3127
2011-09-10,3595
2011-09-11,3413
2011-09-12,4023
2011-09-13,4062
2011-09-14,4138
2011-09-15,3231
2011-09-16,4018
2011-09-17,3077
2011-09-18,2921
2011-09-19,3848
2011-09-20,3203
2011-09-21,3813
2011-09-22,4240
2011-09-23,2137
2011-09-24,3647
2011-09-25,3466
2011-09-26,3946
2011-09-27,3643
2011-09-28,3427
2011-09-29,4186
2011-09-30,4372
2011-10-01,1949
2011-10-02,2302
2011-10-03,3240
2011-10-04,3970
2011-10-05,4267
2011-10-06,4126
2011-10-07,4036
2011-10-08,3174
2011-10-09,3114
2011-10-10,3603
2011-10-11,3896
2011-10-12,2199
2011-10-13,2623
2011-10-14,3115
2011-10-15,3318
2011-10-16,3293
2011-10-17,3857
2011-10-18,4111
2011-10-19,2170
2011-10-20,3724
2011-10-21,3628
2011-10-22,2809
2011-10-23,2762
2011-10-24,3488
2011-10-25,3992
2011-10-26,3490
2011-10-27,2419
2011-10-28,3291
2011-10-29,570
2011-10-30,2446
2011-10-31,3307
2011-11-01,3658
2011-11-02,3816
2011-11-03,3656
2011-11-04,3576
2011-11-05,2770
2011-11-06,2697
2011-11-07,3662
2011-11-08,3829
2011-11-09,3804
2011-11-10,2743
2011-11-11,2928
2011-11-12,2792
2011-11-13,2713
2011-11-14,3891
2011-11-15,3746
2011-11-16,1672
2011-11-17,2914
2011-11-18,3147
2011-11-19,2720
2011-11-20,2733
2011-11-21,2545
2011-11-22,1538
2011-11-23,2454
2011-11-24,935
2011-11-25,1697
2011-11-26,1819
2011-11-27,2261
2011-11-28,3614
2011-11-29,2818
2011-11-30,3425
2011-12-01,3545
2011-12-02,3672
2011-12-03,2908
2011-12-04,2851
2011-12-05,3578
2011-12-06,2468
2011-12-07,655
2011-12-08,3172
2011-12-09,3359
2011-12-10,2688
2011-12-11,2366
2011-12-12,3167
2011-12-13,3368
2011-12-14,3562
2011-12-15,3528
2011-12-16,3399
2011-12-17,2464
2011-12-18,2211
2011-12-19,3143
2011-12-20,3534
2011-12-21,2553
2011-12-22,2841
2011-12-23,2046
2011-12-24,856
2011-12-25,451
2011-12-26,887
2011-12-27,1059
2011-12-28,2047
2011-12-29,2169
2011-12-30,2508
2011-12-31,1820
2012-01-01,1608
2012-01-02,1707
2012-01-03,2147
2012-01-04,2273
2012-01-05,3132
2012-01-06,3791
2012-01-07,3451
2012-01-08,2826
2012-01-09,2270
2012-01-10,3425
2012-01-11,2085
2012-01-12,3828
2012-01-13,3040
2012-01-14,2160
2012-01-15,2027
2012-01-16,2081
2012-01-17,2808
2012-01-18,3267
2012-01-19,3162
2012-01-20,3048
2012-01-21,1234
2012-01-22,1781
2012-01-23,2287
2012-01-24,3900
2012-01-25,3803
2012-01-26,3831
2012-01-27,3187
2012-01-28,3248
2012-01-29,2685
2012-01-30,3498
2012-01-31,4185
2012-02-01,4275
2012-02-02,3571
2012-02-03,3841
2012-02-04,2448
2012-02-05,2629
2012-02-06,3578
2012-02-07,4176
2012-02-08,2693
2012-02-09,3667
2012-02-10,3604
2012-02-11,1977
2012-02-12,1456
2012-02-13,3328
2012-02-14,3787
2012-02-15,4028
2012-02-16,2931
2012-02-17,3805
2012-02-18,2883
2012-02-19,2071
2012-02-20,2627
2012-02-21,3614
2012-02-22,4379
2012-02-23,4546
2012-02-24,3241
2012-02-25,2415
2012-02-26,2874
2012-02-27,4069
2012-02-28,4134
2012-02-29,1769
2012-03-01,4665
2012-03-02,2948
2012-03-03,3110
2012-03-04,2713
2012-03-05,3130
2012-03-06,3735
