dteday,casual
2011-02-13,397
2011-02-14,208
2011-02-15,140
2011-02-16,218
2011-02-17,259
2011-02-18,579
2011-02-19,532
2011-02-20,639
2011-02-21,195
2011-02-22,74
2011-02-23,139
2011-02-24,100
2011-02-25,120
2011-02-26,424
2011-02-27,694
2011-02-28,81
2011-03-01,137
2011-03-02,231
2011-03-03,123
2011-03-04,214
2011-03-05,640
2011-03-06,114
2011-03-07,244
2011-03-08,316
2011-03-09,191
2011-03-10,46
2011-03-11,247
2011-03-12,724
2011-03-13,982
2011-03-14,359
2011-03-15,289
2011-03-16,321
2011-03-17,424
2011-03-18,884
2011-03-19,1424
2011-03-20,1047
2011-03-21,401
2011-03-22,460
2011-03-23,203
2011-03-24,166
2011-03-25,300
2011-03-26,981
2011-03-27,472
2011-03-28,222
2011-03-29,317
2011-03-30,168
2011-03-31,179
2011-04-01,307
2011-04-02,898
2011-04-03,1651
2011-04-04,734
2011-04-05,167
2011-04-06,413
2011-04-07,571
2011-04-08,172
2011-04-09,879
2011-04-10,1188
2011-04-11,855
2011-04-12,257
2011-04-13,209
2011-04-14,529
2011-04-15,642
2011-04-16,121
2011-04-17,1558
2011-04-18,669
2011-04-19,409
2011-04-20,613
2011-04-21,745
2011-04-22,177
2011-04-23,1462
2011-04-24,1710
2011-04-25,773
2011-04-26,678
2011-04-27,547
2011-04-28,569
2011-04-29,878
2011-04-30,1965
2011-05-01,1138
2011-05-02,847
2011-05-03,603
2011-05-04,255
2011-05-05,614
2011-05-06,894
2011-05-07,1612
2011-05-08,1401
2011-05-09,664
2011-05-10,694
2011-05-11,550
2011-05-12,695
2011-05-13,692
2011-05-14,902
2011-05-15,1582
2011-05-16,773
2011-05-17,678
2011-05-18,536
2011-05-19,735
2011-05-20,909
2011-05-21,2258
2011-05-22,1576
2011-05-23,836
2011-05-24,659
2011-05-25,740
2011-05-26,758
2011-05-27,871
2011-05-28,2001
2011-05-29,2355
2011-05-30,1549
2011-05-31,673
2011-06-01,513
2011-06-02,736
2011-06-03,898
2011-06-04,1869
2011-06-05,1685
2011-06-06,673
2011-06-07,763
2011-06-08,676
2011-06-09,563
2011-06-10,815
2011-06-11,1729
2011-06-12,1467
