dteday,registered
2011-02-13,1192
2011-02-14,1705
2011-02-15,1675
2011-02-16,1897
2011-02-17,2216
2011-02-18,2348
2011-02-19,1103
2011-02-20,1173
2011-02-21,912
2011-02-22,1376
2011-02-23,1778
2011-02-24,1707
2011-02-25,1341
2011-02-26,1545
2011-02-27,1708
2011-02-28,1365
2011-03-01,1714
2011-03-02,1903
2011-03-03,1562
2011-03-04,1730
2011-03-05,1437
2011-03-06,491
2011-03-07,1628
2011-03-08,1817
2011-03-09,1700
2011-03-10,577
2011-03-11,1730
2011-03-12,1408
2011-03-13,1435
2011-03-14,1687
2011-03-15,1767
2011-03-16,1871
2011-03-17,2320
2011-03-18,2355
2011-03-19,1693
2011-03-20,1424
2011-03-21,1676
2011-03-22,2243
2011-03-23,1918
2011-03-24,1699
2011-03-25,1910
2011-03-26,1515
2011-03-27,1221
2011-03-28,1806
2011-03-29,2108
2011-03-30,1368
2011-03-31,1506
2011-04-01,1920
2011-04-02,1354
2011-04-03,1598
2011-04-04,2381
2011-04-05,1628
2011-04-06,2395
2011-04-07,2570
2011-04-08,1299
2011-04-09,1576
2011-04-10,1707
2011-04-11,2493
2011-04-12,1777
2011-04-13,1953
2011-04-14,2738
2011-04-15,2484
2011-04-16,674
2011-04-17,2186
2011-04-18,2760
2011-04-19,2795
2011-04-20,3331
2011-04-21,3444
2011-04-22,1506
2011-04-23,2574
2011-04-24,2481
2011-04-25,3300
2011-04-26,3722
2011-04-27,3325
2011-04-28,3489
2011-04-29,3717
2011-04-30,3347
2011-05-01,2213
2011-05-02,3554
2011-05-03,3848
2011-05-04,2378
2011-05-05,3819
2011-05-06,3714
2011-05-07,3102
2011-05-08,2932
2011-05-09,3698
2011-05-10,4109
2011-05-11,3632
2011-05-12,4169
2011-05-13,3413
2011-05-14,2507
2011-05-15,2971
2011-05-16,3185
2011-05-17,3445
2011-05-18,3319
2011-05-19,3840
2011-05-20,4008
2011-05-21,3547
2011-05-22,3084
2011-05-23,3438
2011-05-24,3833
2011-05-25,4238
2011-05-26,3919
2011-05-27,3808
2011-05-28,2757
2011-05-29,2433
2011-05-30,2549
2011-05-31,3309
2011-06-01,3461
2011-06-02,4232
2011-06-03,4414
2011-06-04,3473
2011-06-05,3221
2011-06-06,3875
2011-06-07,4070
2011-06-08,3725
2011-06-09,3352
2011-06-10,3771
2011-06-11,3237
2011-06-12,2993
