model_name,ratio,category,segment_name,MASE,WQL,EMD,pEMD
Naive,3:1,registered,july,1.0294545449625274,0.15769051092106895,0.9825253595392055,0.9825253595392055
Oracle,3:1,registered,july,0.0,0.0,0.0,0.0
OffsetOracle,3:1,registered,july,0.7463856652473171,0.1143303873618778,0.0,0.0
ConstantMean,3:1,registered,july,0.8950382537053965,0.13710079790443086,0.8950382537053962,0.8950382537053962
ConstantMedian,3:1,registered,july,0.8028998567120075,0.12298715785258703,0.8028998567120075,0.8028998567120075
ConstantZero,3:1,registered,july,6.528322718656259,1.0,6.528322718656259,6.528322718656259
SkewedAboveMean,3:1,registered,july,0.9831067406742643,0.12417412924415307,0.8082837909483959,0.7267490229086929
SkewedBelowMean,3:1,registered,july,1.6064056094365442,0.2179914108110694,1.4962704696513625,1.5564545642572998
ARIMA,3:1,registered,july,1.2184960574442913,0.1431345671013144,1.2184960574442913,0.7411972191988966
Naive,3:1,casual,july,0.8208481875142606,0.28857127180950287,0.499500831664491,0.499500831664491
Oracle,3:1,casual,july,0.0,0.0,0.0,0.0
OffsetOracle,3:1,casual,july,1.0142964864825894,0.35657851421046854,0.0,0.0
ConstantMean,3:1,casual,july,1.179194113263918,0.4145486950581056,1.1791941132639179,1.1791941132639179
ConstantMedian,3:1,casual,july,1.1816031234281708,0.41539558871941185,1.181603123428171,1.181603123428171
ConstantZero,3:1,casual,july,2.844524967322922,1.0,2.8445249673229225,2.8445249673229225
SkewedAboveMean,3:1,casual,july,1.4131310431395319,0.4204428415088364,1.246440709295294,0.7918312353676653
SkewedBelowMean,3:1,casual,july,1.4895864386496744,0.48776481076799477,1.4457799297081293,1.522722160689457
ARIMA,3:1,casual,july,1.2554541079890233,0.33591111432668136,1.1561375517137613,0.7474264696573237
